frequency,frequency,amplitude,phase,I,Q
5210000000.0,5381500000.0,0.13108388520692985,-0.5334478138855342,0.112870953977108,-0.06665682792663574
5210000000.0,5381750000.0,0.1277180656760124,-0.5505758217510086,0.1088443249464035,-0.06681928783655167
5210000000.0,5382000000.0,0.1304175008631475,-0.5412746937976699,0.11177466064691544,-0.067194864153862
5210000000.0,5382250000.0,0.12972795552399435,-0.5285844191292148,0.11202292144298553,-0.06542329490184784
5210000000.0,5382500000.0,0.13137719361007333,-0.5385835082061854,0.1127789244055748,-0.06738606095314026
5210000000.0,5382750000.0,0.13077123817877098,-0.5287025097896071,0.11291602998971939,-0.0659627690911293
5210000000.0,5383000000.0,0.13154538394131315,-0.5392707736428628,0.11287690699100494,-0.0675499215722084
5210000000.0,5383250000.0,0.13023033836413855,-0.5299490396166627,0.11236701160669327,-0.0658300518989563
5210000000.0,5383500000.0,0.12894087456173944,-0.5227949879420398,0.11171785742044449,-0.06438066065311432
5210000000.0,5383750000.0,0.13043567102587839,-0.5365037639144813,0.11210958659648895,-0.06667011976242065
5210000000.0,5384000000.0,0.1301777875464104,-0.5354587403071597,0.11195740848779678,-0.06642134487628937
5210000000.0,5384250000.0,0.12976619022231511,-0.5349169599109224,0.11163927614688873,-0.06615085899829865
5210000000.0,5384500000.0,0.13070316982301125,-0.5408986257396402,0.1120448112487793,-0.06729991734027863
5210000000.0,5384750000.0,0.1298501774791599,-0.538830262464751,0.1114516407251358,-0.06663032621145248
5210000000.0,5385000000.0,0.13010046803031894,-0.5404124583527187,0.11156070232391357,-0.06693535298109055
5210000000.0,5385250000.0,0.12835728430356802,-0.5386093185010865,0.11018482595682144,-0.06583993136882782
5210000000.0,5385500000.0,0.13297084352120903,-0.5367832546953456,0.11426956951618195,-0.06799787282943726
5210000000.0,5385750000.0,0.13027899985711677,-0.5342728378060239,0.11212320625782013,-0.06634006649255753
5210000000.0,5386000000.0,0.13116335688007996,-0.5388840301729817,0.11257513612508774,-0.06731021404266357
5210000000.0,5386250000.0,0.1302610253829964,-0.540141662837865,0.11171652376651764,-0.06698770821094513
5210000000.0,5386500000.0,0.12914835980688294,-0.539007124709806,0.11083754152059555,-0.06628980487585068
5210000000.0,5386750000.0,0.1292047764832541,-0.5313940194606954,0.11138763278722763,-0.06547266244888306
5210000000.0,5387000000.0,0.13037086917376003,-0.5314343676598748,0.11239025741815567,-0.06606809794902802
5210000000.0,5387250000.0,0.13024272468098896,-0.5358621985673216,0.1119864359498024,-0.06649966537952423
5210000000.0,5387500000.0,0.1282582375122767,-0.5265273180311211,0.11088661104440689,-0.06445413082838058
5210000000.0,5387750000.0,0.130327342978911,-0.5412738049590063,0.11169745028018951,-0.06714831292629242
5210000000.0,5388000000.0,0.13065604364538752,-0.5360080153337581,0.11233209073543549,-0.06672707945108414
5210000000.0,5388250000.0,0.12979808752084857,-0.5439185159282484,0.11106659471988678,-0.06716959923505783
5210000000.0,5388500000.0,0.1296585571988326,-0.5383560731899272,0.11131870746612549,-0.06647922098636627
5210000000.0,5388750000.0,0.1283433523822663,-0.5436687489596997,0.10983838140964508,-0.06638935208320618
5210000000.0,5389000000.0,0.1317160430497949,-0.5279518340949524,0.11378167569637299,-0.0663539469242096
5210000000.0,5389250000.0,0.13099692124958245,-0.5269067875101163,0.11322937160730362,-0.06587338447570801
5210000000.0,5389500000.0,0.1296977035244134,-0.533450846665248,0.11167716979980469,-0.06595228612422943
5210000000.0,5389750000.0,0.13102123093039844,-0.5324481234572084,0.1128835529088974,-0.06651215255260468
5210000000.0,5390000000.0,0.12979735580685783,-0.5380918234217045,0.11145545542240143,-0.06652093678712845
5210000000.0,5390250000.0,0.12982921817364454,-0.5334140592395126,0.11179284006357193,-0.06601504981517792
5210000000.0,5390500000.0,0.13028209005355013,-0.5318858882443941,0.11228390038013458,-0.06607381254434586
5210000000.0,5390750000.0,0.13055763584674682,-0.5402045587722958,0.11196668446063995,-0.06714728474617004
5210000000.0,5391000000.0,0.12980502711089137,-0.5381187162806499,0.11146025359630585,-0.06652786582708359
5210000000.0,5391250000.0,0.12854945502514406,-0.537083894584791,0.11045024544000626,-0.06577009707689285
5210000000.0,5391500000.0,0.13019340021912776,-0.5302909831608933,0.11231262981891632,-0.06584978848695755
5210000000.0,5391750000.0,0.12943820423557187,-0.5450114754998358,0.11068537086248398,-0.06710437685251236
5210000000.0,5392000000.0,0.13146358933489008,-0.537669395248885,0.11291468143463135,-0.06732718646526337
5210000000.0,5392250000.0,0.12916737711519516,-0.5413846438680595,0.11069592088460922,-0.06656293570995331
5210000000.0,5392500000.0,0.13000582973208472,-0.5371122093333289,0.11169968545436859,-0.0665183886885643
5210000000.0,5392750000.0,0.12830346442773158,-0.5393995771456392,0.1100865826010704,-0.06589934229850769
5210000000.0,5393000000.0,0.1285159708993901,-0.5454397344433939,0.10986820608377457,-0.06667332351207733
5210000000.0,5393250000.0,0.13037414885347676,-0.530606795829313,0.11244772374629974,-0.06597672402858734
5210000000.0,5393500000.0,0.12998751103618406,-0.538180798012194,0.11161281168460846,-0.06662832200527191
5210000000.0,5393750000.0,0.13022323091091667,-0.5377714062456784,0.11184252798557281,-0.06670336425304413
5210000000.0,5394000000.0,0.12865511092181675,-0.5525637756495158,0.10950887203216553,-0.06752736121416092
5210000000.0,5394250000.0,0.12855049194086474,-0.5396448431829171,0.11028233915567398,-0.06605327129364014
5210000000.0,5394500000.0,0.13072484575948023,-0.5322971815450818,0.1126382127404213,-0.06634469330310822
5210000000.0,5394750000.0,0.13034701958336695,-0.5401587559440114,0.11178912967443466,-0.06703384220600128
5210000000.0,5395000000.0,0.12881665850924978,-0.5357508218960166,0.11076758801937103,-0.06575920432806015
5210000000.0,5395250000.0,0.12982674460942126,-0.5430531430789874,0.11114921420812607,-0.06708826869726181
5210000000.0,5395500000.0,0.12968057465091537,-0.5341129503988924,0.11161873489618301,-0.06601749360561371
5210000000.0,5395750000.0,0.12955364845711959,-0.5386338460206428,0.1112101823091507,-0.06645632535219193
5210000000.0,5396000000.0,0.12892994025585172,-0.5467969298638123,0.11013122648000717,-0.06703761965036392
5210000000.0,5396250000.0,0.13033939093978628,-0.5494748312232646,0.11115328967571259,-0.06806837022304535
5210000000.0,5396500000.0,0.12892277452384118,-0.5453025605031886,0.11022515594959259,-0.06686925143003464
5210000000.0,5396750000.0,0.12956330684422643,-0.5384965902249783,0.1112275943160057,-0.06644601374864578
5210000000.0,5397000000.0,0.12807693340962872,-0.5329180731224289,0.11031627655029297,-0.06506934762001038
5210000000.0,5397250000.0,0.13017050819628054,-0.5297324135103254,0.1123296394944191,-0.06577547639608383
5210000000.0,5397500000.0,0.13046672602271492,-0.5276590373115531,0.11272170394659042,-0.06569158285856247
5210000000.0,5397750000.0,0.1295273498598077,-0.5229189484510178,0.112217977643013,-0.06468740105628967
5210000000.0,5398000000.0,0.13050837621456057,-0.543052066763653,0.1117328554391861,-0.06744038313627243
5210000000.0,5398250000.0,0.12922805042957042,-0.545270666191888,0.11048829555511475,-0.06702406704425812
